"Indicador";"Periodo";"Valor";"Categoría 1";"Categoría 1-Valor";"Categoría 2";"Categoría 2-Valor";"Categoría 3";"Categoría 3-Valor"
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2013";"32";"Sexo, edad y TTHH";"25-29 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2013";"61";"Sexo, edad y TTHH";"20-24 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2013";"46";"Sexo, edad y TTHH";"15-19 años";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2013";"45";"Sexo, edad y TTHH";"Mujeres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Expectativa de emancipación truncada, según sexo, grupos de edad y TTHH";"2013";"45";"Sexo, edad y TTHH";"Hombres";"Expectativa de emancipación truncada";"Expectativa de emancipación truncada";"";""
"Jóvenes con necesidad de acceso a una vivienda, según sexo y grupos de edad";"2023";"58289";"Sexo y edad 18-34";"Total";"";"";"";""
"Jóvenes con necesidad de acceso a una vivienda, según sexo y grupos de edad";"2023";"37443";"Sexo y edad 18-34";"25-34 años";"";"";"";""
"Jóvenes con necesidad de acceso a una vivienda, según sexo y grupos de edad";"2023";"20846";"Sexo y edad 18-34";"18-24 años";"";"";"";""
"Jóvenes con necesidad de acceso a una vivienda, según sexo y grupos de edad";"2023";"33315";"Sexo y edad 18-34";"Hombres";"";"";"";""
"Jóvenes con necesidad de acceso a una vivienda, según sexo y grupos de edad";"2023";"24974";"Sexo y edad 18-34";"Mujeres";"";"";"";""
"Jóvenes con necesidad de acceso a una vivienda, según sexo y grupos de edad";"2021";"52061";"Sexo y edad 18-34";"Total";"";"";"";""
"Jóvenes con necesidad de acceso a una vivienda, según sexo y grupos de edad";"2021";"34685";"Sexo y edad 18-34";"25-34 años";"";"";"";""
"Jóvenes con necesidad de acceso a una vivienda, según sexo y grupos de edad";"2021";"17376";"Sexo y edad 18-34";"18-24 años";"";"";"";""
"Jóvenes con necesidad de acceso a una vivienda, según sexo y grupos de edad";"2021";"26777";"Sexo y edad 18-34";"Hombres";"";"";"";""
"Jóvenes con necesidad de acceso a una vivienda, según sexo y grupos de edad";"2021";"25284";"Sexo y edad 18-34";"Mujeres";"";"";"";""
"Jóvenes con necesidad de acceso a una vivienda, según sexo y grupos de edad";"2019";"48233";"Sexo y edad 18-34";"Total";"";"";"";""
"Jóvenes con necesidad de acceso a una vivienda, según sexo y grupos de edad";"2019";"37697";"Sexo y edad 18-34";"25-34 años";"";"";"";""
"Jóvenes con necesidad de acceso a una vivienda, según sexo y grupos de edad";"2019";"10536";"Sexo y edad 18-34";"18-24 años";"";"";"";""
"Jóvenes con necesidad de acceso a una vivienda, según sexo y grupos de edad";"2019";"24691";"Sexo y edad 18-34";"Hombres";"";"";"";""
"Jóvenes con necesidad de acceso a una vivienda, según sexo y grupos de edad";"2019";"23542";"Sexo y edad 18-34";"Mujeres";"";"";"";""
"Jóvenes con necesidad de acceso a una vivienda, según sexo y grupos de edad";"2017";"48601";"Sexo y edad 18-34";"Total";"";"";"";""
"Jóvenes con necesidad de acceso a una vivienda, según sexo y grupos de edad";"2017";"38944";"Sexo y edad 18-34";"25-34 años";"";"";"";""
"Jóvenes con necesidad de acceso a una vivienda, según sexo y grupos de edad";"2017";"9657";"Sexo y edad 18-34";"18-24 años";"";"";"";""
"Jóvenes con necesidad de acceso a una vivienda, según sexo y grupos de edad";"2017";"24833";"Sexo y edad 18-34";"Hombres";"";"";"";""
"Jóvenes con necesidad de acceso a una vivienda, según sexo y grupos de edad";"2017";"23768";"Sexo y edad 18-34";"Mujeres";"";"";"";""
"Jóvenes con necesidad de acceso a una vivienda, según sexo y grupos de edad";"2015";"58380";"Sexo y edad 18-34";"Total";"";"";"";""
"Jóvenes con necesidad de acceso a una vivienda, según sexo y grupos de edad";"2015";"49687";"Sexo y edad 18-34";"25-34 años";"";"";"";""
"Jóvenes con necesidad de acceso a una vivienda, según sexo y grupos de edad";"2015";"8693";"Sexo y edad 18-34";"18-24 años";"";"";"";""
"Jóvenes con necesidad de acceso a una vivienda, según sexo y grupos de edad";"2015";"32129";"Sexo y edad 18-34";"Hombres";"";"";"";""
"Jóvenes con necesidad de acceso a una vivienda, según sexo y grupos de edad";"2015";"26251";"Sexo y edad 18-34";"Mujeres";"";"";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2026";"85.5";"Sexo, 2grupos de edad, TTHH";"Total";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2026";"85.4";"Sexo, 2grupos de edad, TTHH";"Gipuzkoa";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2026";"85.4";"Sexo, 2grupos de edad, TTHH";"Bizkaia";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2026";"85.2";"Sexo, 2grupos de edad, TTHH";"Álava";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2026";"91.8";"Sexo, 2grupos de edad, TTHH";"25-29 años";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2026";"85.3";"Sexo, 2grupos de edad, TTHH";"18-24 años";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2026";"87.7";"Sexo, 2grupos de edad, TTHH";"Mujeres";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2026";"83.3";"Sexo, 2grupos de edad, TTHH";"Hombres";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2024";"82.4";"Sexo, 2grupos de edad, TTHH";"Total";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2024";"80.6";"Sexo, 2grupos de edad, TTHH";"Gipuzkoa";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2024";"83.9";"Sexo, 2grupos de edad, TTHH";"Bizkaia";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2024";"80.7";"Sexo, 2grupos de edad, TTHH";"Álava";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2024";"92.9";"Sexo, 2grupos de edad, TTHH";"25-29 años";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2024";"77.9";"Sexo, 2grupos de edad, TTHH";"18-24 años";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2024";"85.8";"Sexo, 2grupos de edad, TTHH";"Mujeres";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2024";"79.6";"Sexo, 2grupos de edad, TTHH";"Hombres";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2022";"71.9";"Sexo, 2grupos de edad, TTHH";"Total";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2022";"74.1";"Sexo, 2grupos de edad, TTHH";"Gipuzkoa";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2022";"71";"Sexo, 2grupos de edad, TTHH";"Bizkaia";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2022";"70.1";"Sexo, 2grupos de edad, TTHH";"Álava";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2022";"77.4";"Sexo, 2grupos de edad, TTHH";"25-29 años";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2022";"69.4";"Sexo, 2grupos de edad, TTHH";"18-24 años";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2022";"72.4";"Sexo, 2grupos de edad, TTHH";"Mujeres";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2022";"71.5";"Sexo, 2grupos de edad, TTHH";"Hombres";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2020";"66.2";"Sexo, 2grupos de edad, TTHH";"Total";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2020";"65.5";"Sexo, 2grupos de edad, TTHH";"Gipuzkoa";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2020";"65.9";"Sexo, 2grupos de edad, TTHH";"Bizkaia";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2020";"68.6";"Sexo, 2grupos de edad, TTHH";"Álava";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2020";"83.8";"Sexo, 2grupos de edad, TTHH";"25-29 años";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2020";"56";"Sexo, 2grupos de edad, TTHH";"18-24 años";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2020";"72";"Sexo, 2grupos de edad, TTHH";"Mujeres";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2020";"60.9";"Sexo, 2grupos de edad, TTHH";"Hombres";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2017";"68.6";"Sexo, 2grupos de edad, TTHH";"Total";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2017";"61.5";"Sexo, 2grupos de edad, TTHH";"Gipuzkoa";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2017";"72.6";"Sexo, 2grupos de edad, TTHH";"Bizkaia";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2017";"69.7";"Sexo, 2grupos de edad, TTHH";"Álava";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2017";"81.8";"Sexo, 2grupos de edad, TTHH";"25-29 años";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2017";"62.4";"Sexo, 2grupos de edad, TTHH";"18-24 años";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2017";"71.5";"Sexo, 2grupos de edad, TTHH";"Mujeres";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2017";"66";"Sexo, 2grupos de edad, TTHH";"Hombres";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2015";"77.5";"Sexo, 2grupos de edad, TTHH";"Total";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2015";"81";"Sexo, 2grupos de edad, TTHH";"Gipuzkoa";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2015";"78.6";"Sexo, 2grupos de edad, TTHH";"Bizkaia";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2015";"66.3";"Sexo, 2grupos de edad, TTHH";"Álava";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2015";"84.4";"Sexo, 2grupos de edad, TTHH";"25-29 años";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2015";"73.3";"Sexo, 2grupos de edad, TTHH";"18-24 años";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2015";"80.3";"Sexo, 2grupos de edad, TTHH";"Mujeres";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2015";"75.3";"Sexo, 2grupos de edad, TTHH";"Hombres";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2013";"80";"Sexo, 2grupos de edad, TTHH";"Total";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2013";"80.5";"Sexo, 2grupos de edad, TTHH";"Gipuzkoa";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2013";"81.1";"Sexo, 2grupos de edad, TTHH";"Bizkaia";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2013";"75.4";"Sexo, 2grupos de edad, TTHH";"Álava";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2013";"86.8";"Sexo, 2grupos de edad, TTHH";"25-29 años";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2013";"76.2";"Sexo, 2grupos de edad, TTHH";"18-24 años";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2013";"81.6";"Sexo, 2grupos de edad, TTHH";"Mujeres";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2013";"78.8";"Sexo, 2grupos de edad, TTHH";"Hombres";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2011";"81.8";"Sexo, 2grupos de edad, TTHH";"Total";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2011";"89.3";"Sexo, 2grupos de edad, TTHH";"Gipuzkoa";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2011";"78.2";"Sexo, 2grupos de edad, TTHH";"Bizkaia";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2011";"80.7";"Sexo, 2grupos de edad, TTHH";"Álava";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2011";"81";"Sexo, 2grupos de edad, TTHH";"25-29 años";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2011";"82.3";"Sexo, 2grupos de edad, TTHH";"18-24 años";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2011";"82.4";"Sexo, 2grupos de edad, TTHH";"Mujeres";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Percepción de la carestía de la vivienda como dificultad para la emancipación, según sexo, grupos de edad y TTHH";"2011";"81.3";"Sexo, 2grupos de edad, TTHH";"Hombres";"Percepción de la carestía de la vivienda";"Percepción de la carestía de la vivienda";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2021";"8.8";"Sexo";"Total";"Grupos de edad";"18-34 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2021";"15.1";"Sexo";"Mujeres";"Grupos de edad";"30-34 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2021";"14.5";"Sexo";"Mujeres";"Grupos de edad";"25-29 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2021";"3.3";"Sexo";"Mujeres";"Grupos de edad";"18-24 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2021";"10.3";"Sexo";"Mujeres";"Grupos de edad";"18-34 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2021";"12";"Sexo";"Hombres";"Grupos de edad";"30-34 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2021";"10.4";"Sexo";"Hombres";"Grupos de edad";"25-29 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2021";"1.8";"Sexo";"Hombres";"Grupos de edad";"18-24 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2021";"7.4";"Sexo";"Hombres";"Grupos de edad";"18-34 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2021";"13.6";"Sexo";"Total";"Grupos de edad";"30-34 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2021";"12.4";"Sexo";"Total";"Grupos de edad";"25-29 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2021";"2.6";"Sexo";"Total";"Grupos de edad";"18-24 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2020";"9";"Sexo";"Total";"Grupos de edad";"18-34 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2020";"14.9";"Sexo";"Mujeres";"Grupos de edad";"30-34 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2020";"14.4";"Sexo";"Mujeres";"Grupos de edad";"25-29 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2020";"3.5";"Sexo";"Mujeres";"Grupos de edad";"18-24 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2020";"10.4";"Sexo";"Mujeres";"Grupos de edad";"18-34 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2020";"11.9";"Sexo";"Hombres";"Grupos de edad";"30-34 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2020";"10.6";"Sexo";"Hombres";"Grupos de edad";"25-29 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2020";"1.8";"Sexo";"Hombres";"Grupos de edad";"18-24 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2020";"7.6";"Sexo";"Hombres";"Grupos de edad";"18-34 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2020";"13.4";"Sexo";"Total";"Grupos de edad";"30-34 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2020";"12.5";"Sexo";"Total";"Grupos de edad";"25-29 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2020";"2.7";"Sexo";"Total";"Grupos de edad";"18-24 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2019";"8.4";"Sexo";"Total";"Grupos de edad";"18-34 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2019";"13.6";"Sexo";"Mujeres";"Grupos de edad";"30-34 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2019";"13.3";"Sexo";"Mujeres";"Grupos de edad";"25-29 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2019";"3.4";"Sexo";"Mujeres";"Grupos de edad";"18-24 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2019";"9.7";"Sexo";"Mujeres";"Grupos de edad";"18-34 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2019";"10.8";"Sexo";"Hombres";"Grupos de edad";"30-34 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2019";"10.2";"Sexo";"Hombres";"Grupos de edad";"25-29 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2019";"1.6";"Sexo";"Hombres";"Grupos de edad";"18-24 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2019";"7.1";"Sexo";"Hombres";"Grupos de edad";"18-34 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2019";"12.2";"Sexo";"Total";"Grupos de edad";"30-34 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2019";"11.7";"Sexo";"Total";"Grupos de edad";"25-29 años";"";""
"Porcentaje de jóvenes de 18 a 34 años inscritos en Etxebide";"2019";"2.5";"Sexo";"Total";"Grupos de edad";"18-24 años";"";""
"Preferencia de la vivienda en alquiler sobre la compra, según sexo, grupos de edad y TTHH";"2026";"5.6";"Sexo, 2grupos de edad, TTHH";"Total";"Preferencia alquiler sobre compra";"Preferencia alquiler sobre compra";"";""
"Preferencia de la vivienda en alquiler sobre la compra, según sexo, grupos de edad y TTHH";"2026";"6.4";"Sexo, 2grupos de edad, TTHH";"Gipuzkoa";"Preferencia alquiler sobre compra";"Preferencia alquiler sobre compra";"";""
"Preferencia de la vivienda en alquiler sobre la compra, según sexo, grupos de edad y TTHH";"2026";"4.5";"Sexo, 2grupos de edad, TTHH";"Bizkaia";"Preferencia alquiler sobre compra";"Preferencia alquiler sobre compra";"";""
"Preferencia de la vivienda en alquiler sobre la compra, según sexo, grupos de edad y TTHH";"2026";"7";"Sexo, 2grupos de edad, TTHH";"Álava";"Preferencia alquiler sobre compra";"Preferencia alquiler sobre compra";"";""
"Preferencia de la vivienda en alquiler sobre la compra, según sexo, grupos de edad y TTHH";"2026";"1.8";"Sexo, 2grupos de edad, TTHH";"25-29 años";"Preferencia alquiler sobre compra";"Preferencia alquiler sobre compra";"";""
"Preferencia de la vivienda en alquiler sobre la compra, según sexo, grupos de edad y TTHH";"2026";"6.3";"Sexo, 2grupos de edad, TTHH";"18-24 años";"Preferencia alquiler sobre compra";"Preferencia alquiler sobre compra";"";""
"Preferencia de la vivienda en alquiler sobre la compra, según sexo, grupos de edad y TTHH";"2026";"5.3";"Sexo, 2grupos de edad, TTHH";"Mujeres";"Preferencia alquiler sobre compra";"Preferencia alquiler sobre compra";"";""
"Preferencia de la vivienda en alquiler sobre la compra, según sexo, grupos de edad y TTHH";"2026";"5.8";"Sexo, 2grupos de edad, TTHH";"Hombres";"Preferencia alquiler sobre compra";"Preferencia alquiler sobre compra";"";""
"Preferencia de la vivienda en alquiler sobre la compra, según sexo, grupos de edad y TTHH";"2024";"11.9";"Sexo, 2grupos de edad, TTHH";"Total";"Preferencia alquiler sobre compra";"Preferencia alquiler sobre compra";"";""
"Preferencia de la vivienda en alquiler sobre la compra, según sexo, grupos de edad y TTHH";"2024";"10.7";"Sexo, 2grupos de edad, TTHH";"Gipuzkoa";"Preferencia alquiler sobre compra";"Preferencia alquiler sobre compra";"";""
"Preferencia de la vivienda en alquiler sobre la compra, según sexo, grupos de edad y TTHH";"2024";"13.2";"Sexo, 2grupos de edad, TTHH";"Bizkaia";"Preferencia alquiler sobre compra";"Preferencia alquiler sobre compra";"";""
"Preferencia de la vivienda en alquiler sobre la compra, según sexo, grupos de edad y TTHH";"2024";"9.8";"Sexo, 2grupos de edad, TTHH";"Álava";"Preferencia alquiler sobre compra";"Preferencia alquiler sobre compra";"";""
"Preferencia de la vivienda en alquiler sobre la compra, según sexo, grupos de edad y TTHH";"2024";"9.5";"Sexo, 2grupos de edad, TTHH";"25-29 años";"Preferencia alquiler sobre compra";"Preferencia alquiler sobre compra";"";""
